Timestamp,Are these things sports? [Chess],Are these things sports? [eSports (Videogames)],Are these things sports? [Ping Pong (Table Tennis)],Are these things sports? [Foosball],Are these things sports? [Skiing],Are these things sports? [Snowboarding],Are these things sports? [Cycling],Are these things sports? [Bowling],Are these things sports? [Golf],Are these things sports? [Ultimate Frisbee],Are these things sports? [Sailing],Are these things sports? [Rowing (Crew)],Are these things sports? [Frisbee Golf],Are these things sports? [Kickball],Are these things sports? [Scrabble],Are these things sports? [Cornhole],Are these things sports? [Pickleball],"In a few words, what makes a sport a sport in your opinion?",Which of the following have you played in the past year?,Which of the following is your favorite to play?,How often would you say you watch televised sports or sports content on channels like ESPN?,Which one of the following best describes you?,Please rate your opinion towards P.E./Gym Class when you were in school.,What is your age?,To which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),What was your total household income before taxes during the past 12 months?,In which state do you currently live?,"What zip code did you grow up in? (Enter ""00000"" if outside of the US)",Are these things sports? [NASCAR],Are these things sports? [Crossfit]
10/21/2019 21:04:40,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,"Physical activity, competition, some level of skill","Cycling, Cornhole",Cycling,Never,Not a mainstream/traditional sports fan,1,30-34,Female,White/Caucasian,"$50,000 to $100,000",Maryland,21040,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
10/23/2019 14:08:26,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,,Skiing,Skiing,A few times a week,Casual mainstream/traditional sports fan,2,30-34,Male,White/Caucasian,"Over $100,000",California,10504,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
10/26/2019 22:29:45,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Chess, Cycling, Ultimate Frisbee, Crossfit",Cycling,Once a month,Not a mainstream/traditional sports fan,2,30-34,Male,White/Caucasian,"$50,000 to $100,000",Massachusetts,19462,Sport - Don't Feel Strongly,Sport - Feel Strongly
11/3/2019 19:50:40,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,Sports are defined culturally. They also usually have a team element and involve physical activity (but not always),"Skiing, Cycling",Soccer,Never,Not a mainstream/traditional sports fan,2,25-29,Female,Asian/Pacific Islander,"$50,000 to $100,000",District of Columbia,94960,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 20:54:17,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Physicality over mentality,"Soccer, eSports (Videogames), Volleyball, Cycling, Bowling, Ultimate Frisbee, Basketball",Volleyball,A few times a week,Casual mainstream/traditional sports fan,4,25-29,Male,White/Caucasian,"Under $50,000",Pennsylvania,15217,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
11/3/2019 21:37:18,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,,"Chess, Soccer, eSports (Videogames), Skiing, Cycling, Bowling, Ultimate Frisbee, Frisbee Golf, Kickball, Scrabble, Cornhole",eSports (Videogames),Daily,Avid mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"$50,000 to $100,000",Outside of US,97212,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 21:39:07,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,"Sports require a gradient of physical activity that something like chess simply can’t provide. Sport requires skill, but ultimately it has to get your heart rate up and not because you’re nervous about winning an Overwatch round. Skill doesn’t mean sport!","Soccer, eSports (Videogames), Skiing, Cycling, Ping Pong, Foosball, Bowling, Ultimate Frisbee, Frisbee Golf, Scrabble, Cornhole",Cycling,Once a week,Casual mainstream/traditional sports fan,4,25-29,Female,White/Caucasian,"Under $50,000",Outside of US,97212,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
11/3/2019 22:22:42,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,"Physical activity, skill, strategy ","Chess, Cycling, Sailing",Cycling,Once a month,Not a mainstream/traditional sports fan,1,50+,Female,White/Caucasian,"Over $100,000",California,20804,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/3/2019 23:49:46,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Athleticism,"Chess, Skiing, Cycling, Foosball, Scrabble",Skiing,Never,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,Not sure/Refuse,Illinois,94903,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 0:28:36,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Never heard of/Don't know what this is,A game of skill and ability where both the mind and body of a team/individual are involved in directly competing with another team or individual.,"Snowboarding, Cycling, Ping Pong, Ultimate Frisbee, Sailing, Scrabble, Cornhole",Snowboarding,Once a month,Not a mainstream/traditional sports fan,2,25-29,Male,White/Caucasian,"Under $50,000",District of Columbia,20002,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
11/4/2019 1:04:26,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"Something you play competitively and that requires practice to improve your ability, is not won by luck ","Bowling, Scrabble",Bowling,Never,Not a mainstream/traditional sports fan,1,25-29,Female,White/Caucasian,"Under $50,000",Outside of US,60044,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
11/4/2019 7:06:56,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Soccer, Skiing, Kickball",Kickball,A few times a week,Avid mainstream/traditional sports fan,3,25-29,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,28391,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 7:12:17,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,,"Chess, Soccer, eSports (Videogames), Snowboarding, Cycling, Ping Pong, Foosball, Bowling, Sailing, Cornhole",Soccer,A few times a week,Casual mainstream/traditional sports fan,4,18-24,Male,White/Caucasian,"$50,000 to $100,000",Virginia,22932,Sport - Don't Feel Strongly,Sport - Feel Strongly
11/4/2019 13:35:02,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Sport = competition involving physical and mental exertion,"Chess, Soccer, Football, eSports (Videogames), Volleyball, Skiing, Ping Pong, Foosball, Bowling, Golf, Kickball, Scrabble, Cornhole",Soccer,A few times a week,Avid mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"$50,000 to $100,000",District of Columbia,19087,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 13:54:59,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"physical/ mental exertion, skill-based, competitive","eSports (Videogames), Cycling, Bowling, Basketball",Basketball,Daily,Casual mainstream/traditional sports fan,5,18-24,Male,Black or African American,Not sure/Refuse,District of Columbia,48219,Sport - Feel Strongly,Sport - Feel Strongly
11/4/2019 14:02:37,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Never heard of/Don't know what this is,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,for me Sport is competitive game where you have to apply both physical and intelligent ability ,"Soccer, eSports (Videogames), Volleyball, Cycling, Ping Pong, Foosball, Bowling",Soccer,Once a week,Avid mainstream/traditional sports fan,4,25-29,Male,Asian/Pacific Islander,"$50,000 to $100,000",District of Columbia,00000,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
11/4/2019 14:26:42,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,It seems to be something that involves rigorous physical activity and some form of organized competition.,Cornhole,Soccer,Once a month,Casual mainstream/traditional sports fan,1,35-39,Female,White/Caucasian,"Over $100,000",Maryland,67212,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
11/4/2019 14:53:26,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,More practice to achieve better result. ,"Chess, Soccer, Volleyball, Cycling, Ping Pong, Golf, Scrabble",Soccer,A few times a week,Casual mainstream/traditional sports fan,5,35-39,Male,Black or African American,Not sure/Refuse,Maryland,20910,Sport - Feel Strongly,Sport - Don't Feel Strongly
11/4/2019 15:49:02,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"an activity with a large physical component and with the ability to improve and/or influence outcomes due to amount of practice, conditions, and physical blessings","Chess, Soccer, eSports (Videogames), Volleyball, Cycling, Ping Pong, Foosball, Bowling, Ultimate Frisbee, Basketball, Frisbee Golf, Cornhole",Ultimate Frisbee,Once a month,Casual mainstream/traditional sports fan,5,30-34,Male,White/Caucasian,"Over $100,000",Maryland,44612,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
11/4/2019 21:54:12,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,"If you can do it in your basement, it's not a sport. Also, sports require some level of aerobic activity, otherwise it's just a game.","Snowboarding, Cycling, Cornhole",Snowboarding,A few times a week,Avid mainstream/traditional sports fan,4,25-29,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,45034,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly
11/4/2019 22:32:06,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,A physical competition ,"Soccer, Football, Volleyball, Skiing, Cycling, Ping Pong, Bowling, Golf, Ultimate Frisbee, Basketball, Cornhole, Crossfit",Skiing,Daily,Casual mainstream/traditional sports fan,5,25-29,Male,White/Caucasian,"Under $50,000",California,95014,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly
11/5/2019 19:30:15,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,A sport requires physical skill as well as strategy. Some examples above: eSports aren't a sport because they don't require enough physical skill. Crew is not a sport because there's not sufficient strategy.,"Soccer, Football, eSports (Videogames), Cycling, Cornhole",eSports (Videogames),Once a month,Casual mainstream/traditional sports fan,4,30-34,Male,White/Caucasian,"Over $100,000",Massachusetts,94960,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly
11/6/2019 1:08:23,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,If it's active and you can compete at it,"Soccer, Skiing, Cycling, Ping Pong, Foosball, Bowling, Sailing, Cornhole",Cycling,Never,Not a mainstream/traditional sports fan,3,18-24,Female,White/Caucasian,Not sure/Refuse,Washington,98110,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
11/7/2019 12:11:58,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,If defense is involved,"Chess, Football, eSports (Videogames), Volleyball, Foosball",eSports (Videogames),Once a week,Casual mainstream/traditional sports fan,5,25-29,Male,Hispanic or Latino,"$50,000 to $100,000",District of Columbia,20009,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly
11/7/2019 12:37:35,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,"1. When sports are subjective (i.e. scoring by judges) it makes it really tough for me to call it a sport--not  always, but sometimes. 2. Sports can be individualized. 3. There should be an organizational body for the league. 4. There should be sweat. Other notes: There is nowhere else to say this, so I am saying it here. This list is not exhaustive of sports that are out there. How are Basketball and Track missing? In addition, why do the ""Are these things sports?"" not match the ""Which of the following have you played in the past year?"" Finally, there should be an N/A option for the P.E. question. I didn't have to do P.E., I had it waived by my sports :p ",Ping Pong,Ping Pong,Never,Not a mainstream/traditional sports fan,1,25-29,Male,Multiple ethnicity/Other,"$50,000 to $100,000",Virginia,98031,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly
11/14/2019 15:31:18,Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Never heard of/Don't know what this is,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Never heard of/Don't know what this is,Athletes play sports; competitive; strenuous physical activity ,"Cycling, Bowling, Basketball, Kickball",Football,A few times a week,Avid mainstream/traditional sports fan,5,30-34,Male,Black or African American,"$50,000 to $100,000",District of Columbia,90723,Sport - Don't Feel Strongly,Sport - Feel Strongly
12/13/2019 16:01:57,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,"Sport:  Requires Athletic Ability as well as Strategic Adjustment in response to in-competition happenings.  Athletic Competition:  Requires athletic ability, but minimal strategic adjustment to in-competition happenings (IE:  You have your strategy planned, and aren't adjusting on the fly to competitive situations).  Everything else is just a ""game""","Soccer, Football, Volleyball, Cycling, Ping Pong, Bowling, Ultimate Frisbee, Basketball, Kickball, Cornhole",Football,Daily,Avid mainstream/traditional sports fan,4,35-39,Male,Black or African American,"Over $100,000",Virginia,23464,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly
12/13/2019 16:15:31,Not a Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Feel Strongly,Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Not a Sport - Feel Strongly,Not a Sport - Don't Feel Strongly,Sport - Don't Feel Strongly,Physical exertion required. Practice makes one better. ,"Chess, Soccer, Volleyball, Skiing, Cycling, Ping Pong, Foosball, Bowling, Basketball, Sailing, Kickball, Scrabble, Cornhole, Pickleball",Skiing,A few times a week,Casual mainstream/traditional sports fan,5,18-24,Female,White/Caucasian,"$50,000 to $100,000",District of Columbia,06110,Not a Sport - Feel Strongly,Not a Sport - Feel Strongly