,string_text
0,"01. Yves Tumor — Heaven to a Tortured Mind
"
1,"02. Pure X — Pure X
"
2,"03. SALEM — Fires in Heaven
"
3,"04. Dua Lipa — Future Nostalgia
"
4,"05. Tame Impala — The Slow Rush
"
5,"06. Cut Copy — Freeze, Melt
"
6,"07. Run The Jewels — RTJ4
"
7,"08. 070 Shake — Modus Vivendi
"
8,"09. Yung Lean — Starz
"
9,"10. A.A.L. — 2017 - 2019
"
10,"11. The Avalanches — We Will Always Love You
"
11,"12. Dogleg — Melee
"
12,"13. Fiona Apple — Fetch The Bolt Cutters
"
13,"14. Jay Electronica — A Written Testimony
"
14,"15. Sufjan Stevens — The Ascension
"
15,"16. Caribou — Suddenly
"
16,"17. Destroyer — Have We Met
"
17,"18. Four Tet — Sixteen Oceans
"
18,"19. Grimes — Miss Anthropocene
"
19,"20. Various Artists — After Dark 3
"
20,"12/1/20 10:02 AM+22REPLY
"
21,"12/1/20 10:30 AM+8REPLY
"
22,"12/1/20 12:47 PM+3REPLY
"
23,"12/1/20 10:34 AM+8REPLY
"
24,"12/1/20 10:44 AM+1REPLY
"
25,"12/1/20 10:56 AM+3REPLY
"
26,"12/1/20 2:27 PM0REPLY
"
27,"12/1/20 12:13 PM0REPLY
"
28,"12/1/20 2:44 PM0REPLY
"
29,"1. Waxahatchee - Saint Cloud
"
30,"2. Jessie Ware - What's Your Pleasure?
"
31,"3. Oranssi Pazuzu - Mestarin Kynsi
"
32,"4. RTJ - RTJ4
"
33,"5. Pinegrove - Marigold (sorry, I still roll with Pinegrove)
"
34,"6. Jeff Rosenstock - No Dream
"
35,"7. Gulch - Impenetrable Cerebral Fortress
"
36,"8. Westside Gunn - WHO MADE THE SUNSHINE (West's best)
"
37,"9. Jeff Parker - Suite For Max Brown
"
38,"10. Ben Seretan - Youth Pastoral
"
39,"11. Daniel Romano - ""How Ill Thy World Is Formed""
"
40,"12. Potion - Cemetary EP (just heard it yesterday, but what the hell, I'm putting it here)
"
41,"13. Lydia Loveless - Daughter (the best Neko Case album not made by Neko Case)
"
42,"14. 2nd Grade - Hit To Hit
"
43,"15. Jay Electronica - A Written Testimony
"
44,"16. Code Orange - Underneath (so wonderfully dumb)
"
45,"17. CHIKA - INDUSTRY GAMES
"
46,"18. Adrianne Lenker - songs/instrumentals
"
47,"19. Coriky - Coriky
"
48,"20. DRAIN - California Cursed
"
49,"21. Those Dirty Projectors EPs
"
50,"22. Elder - Omens (the vocals are meh, but man the band do some incredible things here)
"
51,"23. Mil-Spec - World House (a nice space filler when waiting for a new Propagandhi)
"
52,"24. Sam Hunt - SOUTHSIDE (sometimes I love it)
"
53,"25. Fiona Apple - Fetch The Bolt Cutters (Fiona never came naturally to me...I'm still working on it).
"
54,"12/1/20 12:12 PM+3REPLY
"
55,"12/1/20 12:41 PM+8REPLY
"
56,"12/1/20 1:06 PM+9REPLY
"
57,"12/1/20 1:13 PM+7REPLY
"
58,"12/1/20 1:13 PM+5REPLY
"
59,"12/1/20 1:43 PM+2REPLY
"
60,"12/1/20 2:54 PM0REPLY
"
61,"12/1/20 12:43 PM0REPLY
"
62,"12/1/20 2:56 PM0REPLY
"
63,"12/1/20 12:53 PM+3REPLY
"
64,"12/1/20 12:57 PM+5REPLY
"
65,"12/1/20 1:06 PM+1REPLY
"
66,"12/1/20 1:56 PM+1REPLY
"
67,"12/1/20 10:05 AM+10REPLY
"
68,"12/1/20 10:49 AM+5REPLY
"
69,"12/1/20 10:59 AM+5REPLY
"
70,"12/1/20 12:58 PM0REPLY
"
71,"12/1/20 12:37 PM+2REPLY
"
72,"12/1/20 12:56 PM0REPLY
"
73,"12/1/20 1:50 PM0REPLY
"
74,"12/1/20 10:06 AM+10REPLY
"
75,"12/1/20 10:26 AM+5REPLY
"
76,"12/1/20 10:36 AM+13REPLY
"
77,"12/1/20 12:05 PM0REPLY
"
78,"12/1/20 10:08 AM+6REPLY
"
79,"12/1/20 12:03 PM+8REPLY
"
80,"12/1/20 1:47 PM+1REPLY
"
81,"12/1/20 1:57 PM+1REPLY
"
82,"12/1/20 1:45 PM0REPLY
"
83,"12/1/20 10:08 AM+22REPLY
"
84,"12/1/20 11:07 AM+2REPLY
"
85,"12/1/20 11:36 AM+3REPLY
"
86,"12/1/20 1:47 PM0REPLY
"
87,"1) Fiona Apple - Fetch the Bolt Cutters
"
88,"2) Caribou - Suddenly
"
89,"3) Run the Jewels - RTJ4
"
90,"4) Hayley Williams - Petals for Armor
"
91,"5) Moses Sumney - græ
"
92,"6) Haim - Women in Music, Pt. III
"
93,"7) Grimes - Miss Anthropocene
"
94,"8) Nap Eyes - Snapshot of a Beginner
"
95,"9) Yves Tumor - Heaven to a Tortured Mind
"
96,"10) Fontaines D.C. - A Hero’s Death
"
97,"12/1/20 10:10 AM+11REPLY
"
98,"12/1/20 10:31 AM+5REPLY
"
99,"12/1/20 1:48 PM+1REPLY
"
100,"1 The New Abnormal by The Strokes
"
101,"2 May Our Chambers Be Full by Emma Ruth Rundle & Thou
"
102,"3 The Neon Skyline by Andy Shauf
"
103,"4 Have We Met by Destroyer
"
104,"5 Ohms by Deftones
"
105,"6 Push by Heads.
"
106,"7 Lungs by Regrowth
"
107,"8 Eight Gates by Jason Molina
"
108,"9 WHAT THE FUCK DID WE DO TO THE EARTH by SØØN
"
109,"10 Snapshot of a Beginner by Nap Eyes
"
110,"11 When I Die, Will I Get Better? by Svalbard
"
111,"12 Set My Heart On Fire Immediately by Perfume Genius
"
112,"13 Take A Chance On Rock'n'Roll by Couch Slut
"
113,"14 Beneath by Infant Island
"
114,"15 Ultimate Success Today by Protomartyr
"
115,"16 World House by Mil-Spec
"
116,"17 Fetch The Bolt Cutters by Fiona Apple
"
117,"18 Agritprop Alterna by Peel Dream Magazine
"
118,"19 The Great Dismal by Nothing
"
119,"20 Every Bad by Porridge Radio
"
120,"21 Pure X by Pure X
"
121,"22 Dance In The Decay by DROWSE
"
122,"23 Hollow Hope by FAIM
"
123,"24 Dishevled Cuss by Disheveled Cuss
"
124,"25 Sorceress by Jess Williamson
"
125,"12/1/20 10:11 AM+17REPLY
"
126,"12/1/20 10:14 AM+10REPLY
"
127,"12/1/20 10:42 AM+9REPLY
"
128,"12/1/20 10:49 AM+4REPLY
"
129,"12/1/20 11:10 AM+3REPLY
"
130,"12/1/20 11:18 AM+4REPLY
"
131,"12/1/20 11:16 AM+1REPLY
"
132,"12/1/20 11:48 AM+22REPLY
"
133,"12/1/20 11:51 AM+3REPLY
"
134,"12/1/20 12:31 PM+1REPLY
"
135,"12/1/20 12:59 PM+1REPLY
"
136,"12/1/20 1:50 PM0REPLY
"
137,"12/1/20 12:44 PM+5REPLY
"
138,"12/1/20 1:06 PM+1REPLY
"
139,"1. Nation of Language - Introduction, Presence
"
140,"2. Nothing  - The Great Dismal
"
141,"3. Dehd - Flower of Devotion
"
142,"4. Waxahatchee - Saint Cloud
"
143,"5. Protomatyr - Ultimate Success Today
"
144,"6. Mourn - Self Worth
"
145,"7. Jeff Rosenstock - No Dream
"
146,"8. George Clanton & Nick Hexum - George Clanton & Nick Hexum
"
147,"9. Fleet Foxes - Shore
"
148,"10. Oneohtrix Point Never - Magic OPN
"
149,"11. Samia - The Baby
"
150,"12. Oh Sees - Protean Threat
"
151,"13. Bartees Strange - Live Forever
"
152,"14. Teenage Halloween - Teenage Halloween
"
153,"15. Destroyer - Have We Met
"
154,"16. Dogleg - Melee
"
155,"17. Hum - Inlet
"
156,"18. Phoebe Bridgers - Punisher
"
157,"19. Porridge Radio - Every Bad
"
158,"20. Yves Tumor - Heaven to a Tortured Mind
"
159,"21. Pure X - Pure X
"
160,"22. Hazel English - Wake UP!
"
161,"23. Westerman - Your Hero is Not Dead
"
162,"24. Bright Eyes - Down in the Weeds, Where the World Once Was
"
163,"25. Future Islands - As Long As You Are
"
164,"12/1/20 10:12 AM+17REPLY
"
165,"12/1/20 10:35 AM+10REPLY
"
166,"12/1/20 10:42 AM+1REPLY
"
167,"12/1/20 10:44 AM+3REPLY
"
168,"12/1/20 11:01 AM+3REPLY
"
169,"12/1/20 11:11 AM+5REPLY
"
170,"12/1/20 11:24 AM+2REPLY
"
171,"12/1/20 11:54 AM+6REPLY
"
172,"12/1/20 12:05 PM+3REPLY
"
173,"12/1/20 12:09 PM+1REPLY
"
174,"12/1/20 1:01 PM+3REPLY
"
175,"12/1/20 2:01 PM0REPLY
"
176,"12/1/20 10:58 AM+7REPLY
"
177,"64percentmice
"
178,"12/1/20 11:03 AM+12REPLY
"
179,"12/1/20 12:37 PM+1REPLY
"
180,"12/1/20 11:07 AM+6REPLY
"
181,"12/1/20 11:35 AM+4REPLY
"
182,"12/1/20 12:40 PM+2REPLY
"
183,"12/1/20 12:56 PM+3REPLY
"
184,"12/1/20 1:50 PM0REPLY
"
185,"12/1/20 1:00 PM+2REPLY
"
186,"12/1/20 1:02 PM+2REPLY
"
187,"12/1/20 11:23 AM+4REPLY
"
188,"2019 was the year I finally got around to PJ Harvey and I also found myself frequently wondering why I waited so long. What are your favorites so far??
"
189,"12/1/20 11:00 AM+8REPLY
"
190,"12/1/20 11:22 AM+3REPLY
"
191,"12/1/20 12:06 PM+1REPLY
"
192,"12/1/20 12:48 PM+2REPLY
"
193,"12/1/20 11:28 AM+5REPLY
"
194,"12/1/20 2:06 PM0REPLY
"
195,"12/1/20 12:15 PM+1REPLY
"
196,"12/1/20 1:18 PM+1REPLY
"
197,"12/1/20 12:28 PM+5REPLY
"
198,"12/1/20 12:41 PM+1REPLY
"
199,"12/1/20 1:13 PM0REPLY
"
200,"12/1/20 2:55 PM0REPLY
"
201,"070 Shake - Modus Vivendi
"
202,"12/1/20 10:13 AM+12REPLY
"
203,"12/1/20 10:34 AM+3REPLY
"
204,"12/1/20 11:07 AM+3REPLY
"
205,"12/1/20 12:57 PM+2REPLY
"
206,"12/1/20 10:42 AM+3REPLY
"
207,"12/1/20 12:47 PM+1REPLY
"
208,"12/1/20 1:49 PM0REPLY
"
209,"1. Off-Key in Hamburg is severely underdiscussed.
"
210,"2. Why isn't DONDA number one on the list? Huh, Gum? HUH?!
"
211,"12/1/20 11:01 AM+1REPLY
"
212,"12/1/20 12:08 PM0REPLY
"
213,"12/1/20 1:06 PM+2REPLY
"
214,"12/1/20 10:15 AM+4REPLY
"
215,"12/1/20 11:42 AM+6REPLY
"
216,"12/1/20 10:16 AM+11REPLY
"
217,"12/1/20 10:30 AM+2REPLY
"
218,"12/1/20 11:17 AM+3REPLY
"
219,"12/1/20 12:11 PM0REPLY
"
220,"12/1/20 10:19 AM+6REPLY
"
221,"12/1/20 11:02 AM+1REPLY
"
222,"12/1/20 11:11 AM0REPLY
"
223,"1. Porridge Radio-Every Bad
"
224,"2. The 1975-Notes On A Conditional Form
"
225,"3. Sufjan Stevens-The Ascension
"
226,"4. Nicolas Jaar-Cenizas
"
227,"5. Phoebe Bridgers-Punisher
"
228,"6. Yves Tumor-Heaven To A Tortured Mind
"
229,"7. Grimes-Miss Anthropocene
"
230,"8. Bartees Strange-Live Forever
"
231,"9. Oneohtrix Point Never-Magic Oneohtrix Point Never
"
232,"10. Ela Minus-Acts of Rebellion
"
233,"11. Jessie Ware-What's Your Pleasure
"
234,"12. Kelly Lee Owens-Inner Song
"
235,"13. Young Jesus-Welcome To Conceptual Beach
"
236,"14. Soccer Mommy-Color Theory
"
237,"15. Sorry-925
"
238,"16. Fontaines D.C.-A Hero's Death
"
239,"17. Sault-Untitled (Rise)
"
240,"18. Nation of Language-Introduction, Presence
"
241,"19. Roisin Murphy-Roisin Machine
"
242,"20. I Break Horses-Warnings
"
243,"21. Westerman-Your Hero Is Not Dead
"
244,"22. Midwife-Forever
"
245,"23. Car Seat Headrest-Making A Door Less Open
"
246,"24. Moses Sumney-Grae
"
247,"25. Elvis Depressedly-Depressedelica
"
248,"26. Jerskin Fendrix-Winterreise
"
249,"27. Rina Sawayama-SAWAYAMA
"
250,"28. Caribou-Suddenly
"
251,"29. Fiona Apple-Fetch The Bolt Cutters
"
252,"30. Destroyer-Have We Met
"
253,"12/1/20 10:19 AM+11REPLY
"
254,"12/1/20 11:07 AM+6REPLY
"
255,"12/1/20 11:22 AM+4REPLY
"
256,"12/1/20 12:11 PM+4REPLY
"
257,"12/1/20 1:28 PM+2REPLY
"
258,"12/1/20 11:46 AM+1REPLY
"
259,"12/1/20 1:29 PM0REPLY
"
260,"1. Porridge Radio - Every bad
"
261,"2. Waxahatchee - Saint cloud
"
262,"3. Nation of Language - Introduction, Presence
"
263,"4. The Strokes - The New Abnormal
"
264,"5. Sault - Untitled (Rise)
"
265,"6. Kelly Lee Owens - Inner Song
"
266,"7. Against all logic - 2017 - 2019
"
267,"8. Sylvan Esso - Free Love
"
268,"9. Run the Jewels - RTJ4
"
269,"10. Boldy James - The Price of Tea in China
"
270,"11. Wolf Parade - Thin Mind
"
271,"12/1/20 12:17 PM+6REPLY
"
272,"12/1/20 1:30 PM+3REPLY
"
273,"12/1/20 10:19 AM+10REPLY
"
274,"12/1/20 10:19 AM+13REPLY
"
275,"12/1/20 10:26 AM+8REPLY
"
276,"12/1/20 10:43 AM+4REPLY
"
277,"12/1/20 12:58 PM+6REPLY
"
278,"12/1/20 2:00 PM0REPLY
"
279,"12/1/20 12:51 PM+3REPLY
"
280,"12/1/20 1:08 PM0REPLY
"
281,"12/1/20 10:19 AM+4REPLY
"
282,"0. The War on Drugs - LIVE DRUGS (Lifetime Achievement Award)
"
283,"1. I’m Glad It’s You - Every Sun, Every Moon
"
284,"2. Trace Mountains - Lost in the Country
"
285,"3. Waxahatchee - Saint Cloud
"
286,"4. SAULT - Untitled (Rise)
"
287,"5. Rolling Blackouts CF - Sideways to New Italy
"
288,"6. Sufjan Stevens - The Ascension
"
289,"7. Jeff Rosenstock - No Dream
"
290,"8. Bartees Strange - Live Forever
"
291,"9. Fiona Apple - Fetch The Bolt Cutters
"
292,"10. Young Jesus - Welcome To Conceptual Beach
"
293,"11. The 1975 - Notes On A Conditional Form
"
294,"12. The Killers - Imploding The Mirage
"
295,"13. Fleet Foxes - Shore
"
296,"14. Westerman - ...Your Hero Is Not Dead
"
297,"15. SAULT - Untitled (Black Is)
"
298,"16. Run The Jewels - RTJ4
"
299,"17. Dogleg - Melee
"
300,"18. Haim - Women In Music Pt. III
"
301,"19. I Love Your Lifestyle - No Driver
"
302,"20. Weave - The Sound II
"
303,"12/1/20 10:21 AM+24REPLY
"
304,"12/1/20 10:27 AM+6REPLY
"
305,"12/1/20 11:23 AM+2REPLY
"
306,"12/1/20 10:43 AM+1REPLY
"
307,"12/1/20 11:27 AM+1REPLY
"
308,"12/1/20 11:32 AM+7REPLY
"
309,"12/1/20 12:18 PM+3REPLY
"
310,"12/1/20 12:47 PM+1REPLY
"
311,"12/1/20 1:54 PM0REPLY
"
312,"12/1/20 12:46 PM+1REPLY
"
313,"12/1/20 11:11 AM+3REPLY
"
314,"12/1/20 2:15 PM+1REPLY
"
315,"12/1/20 11:25 AM+1REPLY
"
316,"12/1/20 1:04 PM+1REPLY
"
317,"12/1/20 2:04 PM0REPLY
"
318,"12/1/20 1:09 PM+1REPLY
"
319,"1. Fiona Apple- Fetch The Bolt Cutters
"
320,"2. Jessie Ware- What’s Your Pleasure
"
321,"3. Taylor Swift- Folklore
"
322,"4. The Killers- Imploding The Mirage
"
323,"5. Dua Lipa- Future Nostalgia
"
324,"6. Laura Marling- Song For Our Daughter
"
325,"7. Lady Gaga- Chromatica
"
326,"8. Hailey Whitters- The Dream
"
327,"9. Roisin Murphy- Roisin Machine
"
328,"10. Bartees Strange- Live Forever
"
329,"11. Kylie Minogue- DISCO
"
330,"12. Tkay Maidza- Last Year Was Weird, Vol. 2
"
331,"13. Charli XCX- how i’m feeling now
"
332,"14. Waxahatchee- Saint Cloud
"
333,"15. Perfume Genius- Set My Heart On Fire Immediately
"
334,"16. Nation of Language- Introduction, Presence
"
335,"17. Dogleg- Melee
"
336,"18. BENEE- Hey u x
"
337,"19. Destroyer- Have We Met
"
338,"20. Pure X- Pure X
"
339,"21. Soccer Mommy- color theory
"
340,"22. Run The Jewels- RTJ4
"
341,"23. Westerman- Your Hero Is Not Dead
"
342,"24. Yves Tumor- Heaven To A Tortured Mind
"
343,"25. Empress Of- I’m Your Empress Of
"
344,"26. U.S. Girls- Heavy Light
"
345,"27. Loma- Don’t Shy Away
"
346,"28. Sam Hunt- SOUTHSIDE
"
347,"12/1/20 10:21 AM+9REPLY
"
348,"12/1/20 10:29 AM+8REPLY
"
349,"12/1/20 10:35 AM+3REPLY
"
350,"12/1/20 10:48 AM+2REPLY
"
351,"12/1/20 11:05 AM+2REPLY
"
352,"12/1/20 11:30 AM+1REPLY
"
353,"12/1/20 11:47 AM+3REPLY
"
354,"12/1/20 1:22 PM+1REPLY
"
355,"12/1/20 2:26 PM0REPLY
"
356,"12/1/20 1:18 PM+1REPLY
"
357,"12/1/20 1:31 PM+1REPLY
"
358,"12/1/20 2:24 PM+1REPLY
"
359,"12/1/20 1:24 PM0REPLY
"
360,"2nahelper
"
361,"12/1/20 2:38 PM0REPLY
"
362,"12/1/20 10:23 AM+20REPLY
"
363,"12/1/20 12:56 PM0REPLY
"
364,"1) Microphones in 2020 // The Microphones
"
365,"2) 2017-2019 // Against All Logic
"
366,"3) Eternal Atake (Deluxe) // Lil Uzi Vert
"
367,"4) The Ascension // Sufjan Stevens
"
368,"5) Shrines // Armand Hammer
"
369,"6) Notes on a Conditional Form // The 1975
"
370,"7) What's Your Pleasure? // Jessie Ware
"
371,"8) Inlet // Hum
"
372,"9) 1000 gecs and The Tree of Clues // 100 gecs
"
373,"10) SIGN // Autechre
"
374,"11) No Dream // Jeff Rosenstock
"
375,"12) PLUS // Autechre
"
376,"13) Fetch the Bolt Cutters // Fiona Apple
"
377,"14) Telas // Nicolas Jaar
"
378,"15) Descendants of Cain // Ka
"
379,"16) Punisher // Phoebe Bridgers
"
380,"17) The Slow Rush // Tame Impala
"
381,"18) Spirit World Field Guide // Aesop Rock
"
382,"19) Magic Oneohtrix Point Never // Oneohtrix Point Never
"
383,"20) Roisin Machine // Roisin Murphy
"
384,"12/1/20 10:23 AM+11REPLY
"
385,"12/1/20 12:08 PM+4REPLY
"
386,"12/1/20 2:30 PM0REPLY
"
387,"12/1/20 2:35 PM0REPLY
"
388,"12/1/20 12:41 PM+1REPLY
"
389,"1 - Annie - Dark Hearts
"
390,"2 - Creeper - Sex, Death & the Infinite Void
"
391,"3 - James Dean Bradfield - Even in Exile
"
392,"4 - Laura Marling - Songs for our Daughter
"
393,"5 - Sufjan Stevens - The Ascension
"
394,"6 - Austra - HiRUNDiN
"
395,"7 - Fleet Foxes - Shores
"
396,"8 - Nadine Shah - Kitchen Sink
"
397,"9 - Poppy - I Disagree
"
398,"10 - Julianna Barwick - Healing is a Miracle
"
399,"12/1/20 10:23 AM+10REPLY
"
400,"12/1/20 10:58 AM0REPLY
"
401,"12/1/20 11:31 AM0REPLY
"
402,"1) Jeff Rosenstock - No Dream
"
403,"2) Waxahatchee - Saint Cloud
"
404,"3) Perfume Genius - Set My Heart on Fire Immediately
"
405,"4) Caribou - Suddenly
"
406,"5) Phoebe Bridgers - Punisher
"
407,"6) Mac Miller - Circles
"
408,"7) Bright Eyes - Down in the Weeds...
"
409,"8) Fiona Apple - Fetch the Bolt Cutters
"
410,"9) Freddie Gibbs & Alchemist - Alfredo
"
411,"10) Fleet Foxes - Shore
"
412,"11) Moses Sumney - grae
"
413,"12) Thao & The Get Down Stay Down - Temples
"
414,"13) Sufjan - The Ascension
"
415,"14) Open Mike Eagle - Anime, Trauma, Divorce
"
416,"15) En Attendant Ana - Juliett
"
417,"12/1/20 10:24 AM+6REPLY
"
418,"12/1/20 10:31 AM+8REPLY
"
419,"12/1/20 11:26 AM+4REPLY
"
420,"12/1/20 11:39 AM+5REPLY
"
421,"12/1/20 11:44 AM+4REPLY
"
422,"12/1/20 11:47 AM+2REPLY
"
423,"12/1/20 1:26 PM0REPLY
"
424,"12/1/20 1:12 PM+3REPLY
"
425,"12/1/20 12:07 PM+4REPLY
"
426,"12/1/20 1:11 PM+1REPLY
"
427,"12/1/20 12:49 PM+1REPLY
"
428,"12/1/20 12:48 PM0REPLY
"
429,"12/1/20 11:05 AM0REPLY
"
430,"12/1/20 11:12 AM+1REPLY
"
431,"12/1/20 11:55 AM0REPLY
"
432,"12/1/20 11:14 AM+3REPLY
"
433,"12/1/20 12:20 PM0REPLY
"
434,"01. Mare Cognitum & Spectral Lore - Wanderers: Astrology of the Nine
"
435,"02. Oranssi Pazuzu – Mestarin Kynsi
"
436,"03. Fiona Apple – Fetch The Bolt Cutters
"
437,"04. Emma Ruth Rundle & Thou – May Our Chambers Be Full
"
438,"05. Phoebe Bridgers – Punisher
"
439,"06. Gulch – Impenetrable Cerebral Fortress
"
440,"07. Pallbearer – Forgotten Days
"
441,"08. Couch Slut – Take a Chance On Rock n Roll
"
442,"09. Boldy James & Sterling Toles – Manger On McNichols
"
443,"10. Infant Island – Beneath
"
444,"11. Angel Bat Dawid & Tha Brotherhood – LIVE
"
445,"12. Svalbard – When I Die, Will I Get Better?
"
446,"13. Spirit Adrift – Enlightened In Eternity
"
447,"14. Napalm Death – Throes of Joy In the Jaws of Defeatism
"
448,"15. Yves Tumor – Heaven to a Tortured Mind
"
449,"16. Moor Mother – Circuit City
"
450,"17. Run The Jewels – RTJ4
"
451,"18. Sweven – The Eternal Resonance
"
452,"19. Bedsore – Hypnogogic Hallucinations
"
453,"20. Perfume Genius – Set My Heart On Fire Immediately
"
454,"12/1/20 10:24 AM+13REPLY
"
455,"12/1/20 10:50 AM+5REPLY
"
456,"12/1/20 11:09 AM+2REPLY
"
457,"12/1/20 11:48 AM+3REPLY
"
458,"12/1/20 12:54 PM+2REPLY
"
459,"12/1/20 11:03 AM+3REPLY
"
460,"12/1/20 11:12 AM+3REPLY
"
461,"12/1/20 11:38 AM+2REPLY
"
462,"12/1/20 12:55 PM+2REPLY
"
463,"12/1/20 1:04 PM0REPLY
"
464,"12/1/20 11:55 AM+3REPLY
"
465,"12/1/20 12:55 PM+2REPLY
"
466,"12/1/20 12:21 PM+2REPLY
"
467,"12/1/20 12:56 PM+2REPLY
"
468,"12/1/20 1:05 PM+2REPLY
"
469,"12/1/20 1:15 PM0REPLY
"
470,"1. Xibalba
"
471,"2. Sivyj Yar
"
472,"3. Ulcerate
"
473,"4. Afterbirth
"
474,"5. Ulthar
"
475,"6. The Ocean
"
476,"7. Molassess
"
477,"8. Atramentus
"
