,string_text
478,"9. Bedsore
"
479,"10. Sweven
"
480,"11. Turia
"
481,"12. MSW
"
482,"13. Chrome Ghost
"
483,"14. Intronaut
"
484,"15. Eternal Champion
"
485,"16. Thou & ERR
"
486,"17. The Acacia Strain - It Comes In Waves
"
487,"18. The Acacia Strain - Slow Decay
"
488,"19. Defeated Sanity
"
489,"20. Spirit Adrift
"
490,"12/1/20 10:24 AM+5REPLY
"
491,"12/1/20 10:46 AM+2REPLY
"
492,"12/1/20 10:56 AM+2REPLY
"
493,"12/1/20 11:28 AM+1REPLY
"
494,"12/1/20 11:26 AM+5REPLY
"
495,"1. Fiona Apple – Fetch the Bolt Cutters
"
496,"2. The Killers – Imploding the Mirage
"
497,"3. Waxahatchee – Saint Cloud
"
498,"4. Haim – Women in Music Pt. III
"
499,"5. Bonny Light Horseman – Bonny Light Horseman
"
500,"6. Lianne La Havas – Lianne La Havas
"
501,"7. Run the Jewels – RTJ4
"
502,"8. This is the Kit – Off Off On
"
503,"9. Courtney Marie Andrews – Old Flowers
"
504,"10. Fleet Foxes - Shore
"
505,"11. Kevin Morby – Sundowner
"
506,"12. Adrianne Lenker – songs
"
507,"13. Moses Sumney – grae
"
508,"14. Phoebe Bridgers – Punisher
"
509,"15. Laura Marling – Song For Our Daughter
"
510,"16. Nicole Atkins – Italian Ice
"
511,"17. Taylor Swift – folklore
"
512,"18. Chris Stapleton – Starting Over
"
513,"19. Nathaniel Rateliff – And It’s Still Alright
"
514,"20. Son Little - aloha
"
515,"12/1/20 10:25 AM+8REPLY
"
516,"12/1/20 11:12 AM+1REPLY
"
517,"12/1/20 12:25 PM+1REPLY
"
518,"12/1/20 12:32 PM+1REPLY
"
519,"12/1/20 11:24 AM+1REPLY
"
520,"12/1/20 12:24 PM0REPLY
"
521,"12/1/20 12:56 PM+1REPLY
"
522,"1. NNAMDI - BRAT
"
523,"2. Yves Tumor - Heaven To A Tortured Mind
"
524,"3. Joshua Virtue - Jackie's House
"
525,"4. Freddie Gibbs + The Alchemist - Alfredo
"
526,"5. Beach Bunny - Honeymoon
"
527,"6. Ohmme - Fantasize Your Ghost
"
528,"7. Naeem - Startisha
"
529,"8. Deeper - Auto-Pain
"
530,"9. Sen Morimoto - Sen Morimoto
"
531,"10. King Von - Welcome To O Block
"
532,"11. Thundercat - It Is What It Is
"
533,"12. Ratboys - Printer's Devil
"
534,"13. Serengeti - Ajai
"
535,"14. Roy Kinsey - KINSEY: A Memoir
"
536,"15. The Twilite Tone - The Clearing
"
537,"16. Rich Jones and Montana Macks - How do you sleep at night?
"
538,"17. Bartees Strange - Live Forever
"
539,"18. Jessie Ware - What's Your Pleasure
"
540,"19. keiyaA - Forever, Ya Girl
"
541,"20. Fat Tony - Exotica
"
542,"21. Dogleg - Melee
"
543,"22. Ka - Descendants of Cain
"
544,"23. ONO - Red Summer
"
545,"24. Ric Wilson + Terrace Martin - They Call Me Disco
"
546,"25. The Weeknd - After Hours
"
547,"12/1/20 10:26 AM+9REPLY
"
548,"12/1/20 11:39 AM+2REPLY
"
549,"12/1/20 11:44 AM+3REPLY
"
550,"12/1/20 12:03 PM+2REPLY
"
551,"12/1/20 12:39 PM+2REPLY
"
552,"12/1/20 10:26 AM+10REPLY
"
553,"12/1/20 11:05 AM+3REPLY
"
554,"12/1/20 1:30 PM0REPLY
"
555,"12/1/20 10:27 AM+4REPLY
"
556,"1. Mare Cognitun & Spectral Lore - Wanderers: Astrology Of the Nine
"
557,"2. Thou & Emma Ruth Rundle - May Our Chambers Be Full
"
558,"3. Black Curse - Endless Wound
"
559,"4. Nap Eyes - Snapshot Of a Beginner
"
560,"5. Porridge Radio - Every Bad
"
561,"6. Pantha du Prince - Conference Of Trees
"
562,"7. Fluisteraars - Bloem
"
563,"8. Eternal Champion - Ravening Iron
"
564,"9. Couch Slut - Take A Chance On Rock N' Roll
"
565,"10. Woods - Strange To Explain
"
566,"11. Moodyman - Taken Away
"
567,"12. Sweven - The Eternal Resonance
"
568,"13. Wake - Devouring Ruin
"
569,"14. REZN - Chaotic Divine
"
570,"15. Spirit Adrift - Enlightened In Eternity
"
571,"16. My Morning Jacket - The Waterfall II
"
572,"17. Jason Isbell & The 400 Unit - Reunions
"
573,"18. Midwife - Forever
"
574,"19. Bedsore - Hypnagogic Hallucinations
"
575,"20. Hum - Inlet
"
576,"12/1/20 10:29 AM+16REPLY
"
577,"12/1/20 10:33 AM+3REPLY
"
578,"12/1/20 10:36 AM+6REPLY
"
579,"12/1/20 11:11 AM+4REPLY
"
580,"12/1/20 11:40 AM0REPLY
"
581,"12/1/20 11:18 AM+2REPLY
"
582,"12/1/20 11:41 AM+1REPLY
"
583,"12/1/20 11:28 AM+1REPLY
"
584,"12/1/20 11:42 AM0REPLY
"
585,"12/1/20 1:09 PM0REPLY
"
586,"12/1/20 12:11 PM+3REPLY
"
587,"12/1/20 12:36 PM+1REPLY
"
588,"12/1/20 1:06 PM+2REPLY
"
589,"12/1/20 1:20 PM+1REPLY
"
590,"12/1/20 2:44 PM+1REPLY
"
591,"12/1/20 2:57 PM0REPLY
"
592,"12/1/20 10:30 AM+4REPLY
"
593,"12/1/20 10:39 AM+6REPLY
"
594,"12/1/20 10:52 AM+4REPLY
"
595,"12/1/20 11:13 AM+3REPLY
"
596,"12/1/20 2:08 PM0REPLY
"
597,"12/1/20 12:43 PM+6REPLY
"
598,"12/1/20 2:05 PM0REPLY
"
599,"12/1/20 2:45 PM0REPLY
"
600,"12/1/20 2:46 PM0REPLY
"
601,"1. Freddie Gibbs & Alchemist - Alfredo
"
602,"2. Run the Jewels - RTJ4
"
603,"3. Mac Miller - Circles
"
604,"4. Ka - Descendants of Cain
"
605,"5. Jay Electronica - Act II: The Patents of Nobility(The Turn)
"
606,"6. Goodie Mob - Survival Kit
"
607,"7. Black Thought - Streams of Thought, Vol. 3: Cane and Able
"
608,"8. Busta Rhymes - Extinction Level Event 2: The Wrath of God
"
609,"9. Boldy James - The Versace Tape
"
610,"10. Sa-Roc - The Sharecropper's Daughter
"
611,"1. Ledisi - The Wild Card
"
612,"2. Thundercat - It Is What It Is
"
613,"3. The Weeknd - After Hours
"
614,"4. Jojo - good to know
"
615,"5. Toni Braxton - Spell My Name
"
616,"6. dvsn - A Muse In Her Feelings
"
617,"7. Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington - Dinner Party
"
618,"8. Natalie Lauren - Handle With Care
"
619,"9. Kehlani - It Was Good Until It Wasn't
"
620,"10. Ro James - MANTIC
"
621,"1. Tame Impala - The Slow Rush
"
622,"2. Dua Lipa - Future Nostalga
"
623,"3. Hayley Williams - Petals of Armor
"
624,"4. Moses Sumney - grae
"
625,"5. Lady Gaga - Chromatica
"
626,"6. Yves Tumor - Heaven To A Tortured Mind
"
627,"7. Ariana Grande - Positions
"
628,"8. Taylor Swift - folklore
"
629,"9. Angel Olsen - A Whole New Mess
"
630,"10. Thao & The Get Down Stay Down - Temple
"
631,"12/1/20 10:31 AM+7REPLY
"
632,"12/1/20 10:38 AM+7REPLY
"
633,"12/1/20 11:53 AM+2REPLY
"
634,"12/1/20 10:49 AM+1REPLY
"
635,"12/1/20 11:54 AM+1REPLY
"
636,"12/1/20 10:31 AM+6REPLY
"
637,"10 - GULCH
"
638,"9 - Midwife
"
639,"8 - Spiritworld
"
640,"7 - Trace Mountains
"
641,"6 - Porridge Radio
"
642,"5 - DEHD
"
643,"4 - Cindy Lee
"
644,"3 - Dogleg
"
645,"2 - Shy Boys
"
646,"1 - Sorry
"
647,"12/1/20 10:31 AM+15REPLY
"
648,"12/1/20 10:40 AM+9REPLY
"
649,"12/1/20 10:45 AM+7REPLY
"
650,"12/1/20 11:16 AM+5REPLY
"
651,"12/1/20 11:44 AM+3REPLY
"
652,"12/1/20 11:51 AM+8REPLY
"
653,"1. Someone New — Helena Deland
"
654,"2. Shore — Fleet Foxes
"
655,"3. God Has Nothing To Do With This Leave Him Out of It — BackXwash
"
656,"4. Women in Music Pt III — Haim
"
657,"5. Punisher — Phoebe Bridgers
"
658,"6. Saint Cloud — Waxahatchee
"
659,"7. Every Bad — Porridge Radio
"
660,"8. Full Hand — Kevin Krauter
"
661,"9. Man Alive! — King Krule
"
662,"10. Neon Skyline — Andy Shauf
"
663,"12/1/20 10:32 AM+9REPLY
"
664,"12/1/20 11:52 AM+3REPLY
"
665,"12/1/20 12:19 PM+1REPLY
"
666,"12/1/20 1:02 PM+2REPLY
"
667,"12/1/20 10:32 AM+2REPLY
"
668,"12/1/20 10:33 AM+5REPLY
"
669,"12/1/20 12:15 PM0REPLY
"
670,"12/1/20 12:50 PM0REPLY
"
671,"12/1/20 10:33 AM+4REPLY
"
672,"2nd Grade - Hit to Hit
"
673,"12/1/20 10:33 AM+7REPLY
"
674,"12/1/20 10:58 AM+3REPLY
"
675,"12/1/20 10:33 AM+4REPLY
"
676,"12/1/20 10:34 AM+4REPLY
"
677,"12/1/20 10:36 AM+7REPLY
"
678,"12/1/20 10:45 AM+1REPLY
"
679,"12/1/20 12:53 PM+2REPLY
"
680,"1) Waxahatchee, St. Cloud
"
681,"2) Jason Isbell, Reunions
"
682,"3) Young Jesus, Welcome to Conceptual Beach
"
683,"4) Porridge Radio, Every Bad
"
684,"5) Caribou, Suddenly
"
685,"6) Run The Jewels, RTJ4
"
686,"7) Fontaines D.C., A Hero's Death
"
687,"8) Andy Shauf, Neon Skyline
"
688,"9) Dehd, Flower of Devotion
"
689,"10) Lomelda, Hannah
"
690,"12/1/20 10:36 AM+5REPLY
"
691,"1. Empty Country – Empty Country
"
692,"2. Fleet Foxes- Shore
"
693,"3. Daniel Romano – How Ill Thy World Is Ordered
"
694,"4. Ratboys – Printer’s Devil
"
695,"5. Another Sky – I Slept on The Floor
"
696,"6. The Rentals – Q36
"
697,"7. Four Tet – Sixteen Oceans
"
698,"8. Helena Deland – Someone New
"
699,"9. Loma – Don’t Shy Away
"
700,"10. Jon Mckiel – Bobby Joe Hope
"
701,"11. Perfume Genius – Set My Heart on Fire Immediately
"
702,"12. Peel Dream Magazine – Agitprop Alterna
"
703,"13. Nap Eyes – Snapshot of a Beginner
"
704,"14. Nation of Language – Introduction, Presence
"
705,"15. Walter Martin – The World at Night
"
706,"16. I’m Glad It’s You – Every Sun, Every Moon
"
707,"17. Logan Ledger – Logan Ledger
"
708,"18. Bad Moves – Untenable
"
709,"19. Rose City Band - Summerlong
"
710,"20. Andy Shauf – The Neon Skyline
"
711,"21. Laura Marling – Song for Our Daughter
"
712,"22. Mike Polizze – Long Lost Solace Find
"
713,"23. The Beths – Jump Rope Gazers
"
714,"24. Land of Talk – Indistinct Conversations
"
715,"25. Bonny Light Horseman – Bonnie Light Horseman
"
716,"12/1/20 10:37 AM+12REPLY
"
717,"12/1/20 10:56 AM+1REPLY
"
718,"12/1/20 11:03 AM+1REPLY
"
719,"12/1/20 12:03 PM+5REPLY
"
720,"12/1/20 12:58 PM+1REPLY
"
721,"12/1/20 2:36 PM+1REPLY
"
722,"12/1/20 2:48 PM0REPLY
"
723,"12/1/20 1:35 PM+2REPLY
"
724,"12/1/20 10:37 AM+6REPLY
"
725,"12/1/20 1:01 PM+1REPLY
"
726,"12/1/20 10:38 AM+11REPLY
"
727,"12/1/20 12:53 PM+1REPLY
"
728,"12/1/20 10:38 AM+4REPLY
"
729,"1. Dogleg - Melee
"
730,"2. Yves Tumor - Heaven to a Tortured Mind
"
731,"3. Kitty - Charm and Mirror
"
732,"4. Jeff Rosenstock - NO DREAM
"
733,"5. Record Setter - I Owe You Nothing
"
734,"6. Vrita - SONAR
"
735,"7. Snarls - Burst
"
736,"8. Lil Uzi Vert - Eternal Atake
"
737,"9. Phoebe Bridgers - Punisher
"
738,"10. beabadoobee - Fake It Flowers
"
739,"11. Gorillaz - Song Machine Vol. 1
"
740,"12. Bully - SUGAREGG
"
741,"13. Bartees Strange - Live Forever
"
742,"14. Charli XCX - How I'm Feeling Now
"
743,"15. Empty Country - Empty Country
"
744,"12/1/20 10:38 AM+7REPLY
"
745,"12/1/20 12:06 PM+2REPLY
"
746,"1. The Price of Tea in China // Manger on McNichols - Boldy James. Don't make me choose.
"
747,"2. Suddenly - Caribou
"
748,"3. Descendants of Cain - Ka
"
749,"4. The Neon Skyline - Andy Shauf
"
750,"5. Shrines - Armand Hammer
"
751,"6. Alfredo - Freddie Gibbs/Alchemist
"
752,"7. Don't Play It Straight - Small Bills
"
753,"8. FlySiifu's - Pink Siifu + Fly Anakin
"
754,"9. Shore - Fleet Foxes
"
755,"10. KG - King Gizzard and the Lizard Wizard
"
756,"12/1/20 10:39 AM+5REPLY
"
757,"12/1/20 10:54 AM+3REPLY
"
758,"12/1/20 11:45 AM0REPLY
"
759,"12/1/20 10:54 AM+1REPLY
"
760,"12/1/20 11:21 AM+1REPLY
"
761,"12/1/20 11:00 AM+1REPLY
"
762,"12/1/20 11:23 AM+1REPLY
"
763,"12/1/20 11:32 AM+1REPLY
"
764,"12/1/20 11:34 AM+1REPLY
"
765,"12/1/20 11:53 AM+1REPLY
"
766,"12/1/20 11:23 AM+1REPLY
"
767,"1. Run The Jewels—RTJ4
"
768,"2. Ziemba—True Romantic
"
769,"3. Andy Shauf—Neon Skyline
"
770,"4. Bartees Strange—Live Forever
"
771,"5. Jeff Rosenstock—NO DREAM
"
772,"6. Teenage Halloween—Teenage Halloween
"
773,"7. Touche Amore—Lament
"
774,"8. Oceanator—Things I Never Said
"
775,"9. Mountain Goats—Getting Into Knives
"
776,"10. Fiona Apple—Fetch the Bolt Cutters
"
777,"11. Jessie Ware—What's Your Pleasure
"
778,"12. Denzel Curry—Unlocked
"
779,"13. Yaeji—What We Drew
"
780,"14. Open Mike Eagle—Anime, Trauma, and Divorce
"
781,"15. Aesop Rock—Spirit World Field Guide
"
782,"16. Soul Glo—Songs to Yeet at the Sun
"
783,"17. Empress Of—I'm Your Empress Of
"
784,"18. Frances Quinlan—Likewise
"
785,"19. Carly Rae Jepsen—Dedicated Side B
"
786,"20. Adrienne Lenker—songs
"
787,"12/1/20 10:39 AM+10REPLY
"
788,"12/1/20 12:09 PM+3REPLY
"
789,"12/1/20 1:06 PM+1REPLY
"
790,"12/1/20 10:39 AM+4REPLY
"
791,"1000 gecs and the tree of clues
"
792,"12/1/20 12:42 PM+1REPLY
"
793,"12/1/20 10:41 AM+13REPLY
"
794,"12/1/20 11:23 AM+11REPLY
"
795,"1. on the tender spot of every calloused moment - Ambrose Akinmusire
"
796,"2. Likewise - Frances Quinlan
"
797,"3. Sixteen Oceans - Four Tet
"
798,"4. Lianne La Havas - Lianne La Havas
"
799,"5. Suite for Max Brown - Jeff Parker
"
800,"6. pop songs 2020 - BUMPER
"
801,"7. Wanderers: Astrology of the Nine - Mare Cognitum/Spectral Lore
"
802,"8. songs/instrumentals - Adrianne Lenker
"
803,"9. Àdá Irin - Navy Blue
"
804,"10. The Goat - Polo G
"
805,"11. Silver Ladders - Mary Lattimore
"
806,"12. Miss Anthropocene - Grimes
"
807,"13. Mia Gargaret - Gia Margaret
"
808,"14. Colores - J Balvin
"
809,"15. Twice as Tall - Burna Boy
"
810,"16. Taken Away - Moodymann
"
811,"17. WHAT WE DREW 우리가 그려왔던 – Yaeji
"
812,"18. Kahil El'Zabar's America the Beautiful - Kahil El'Zabar
"
813,"19. Melee - Dogleg
"
814,"20. SPICE - SPICE
"
815,"21. Sundry Rock Song Stock - Yves Jarvis
"
816,"22. Años en Infierno - Xibalba
"
817,"23. LIVE DRUGS - The War on Drugs
"
818,"24. Sin Miedo (del Amor y Otros Demonios) ∞ - Kali Uchis
"
819,"25. Asterisms - Matthew Cardinal
"
820,"26. Eclipse - addy
"
821,"27. The Don of Diamond Dreams - Shabazz Palaces
"
822,"28. Have We Met - Destroyer
"
823,"29. Skeleton - Skeleton
"
824,"30. Both of Us/Are You Down - Jayda G
"
825,"12/1/20 10:42 AM+9REPLY
"
826,"12/1/20 11:53 AM+1REPLY
"
827,"1. Fleet Foxes - Shore
"
828,"2. SAULT - Rise
"
829,"3. Destroyer - Have We Met
"
830,"4. Kelly Lee Owens - Inner Light
"
831,"5. Helena Deland - Someone New
"
832,"6. Caribou - Suddenly
"
833,"7. Kevin Morby - Sundowner
"
834,"8. Soccer Mommy - Color Theory
"
835,"9. Moses Sumney - grae
"
836,"10. Adrianne Lenker - songs
"
837,"11. Sufjan Stevens - Ascension
"
838,"12. US Girls
"
839,"13. Flaming Lips
"
840,"14. Christian Lee Hutson
"
841,"15. Donny Benet
"
842,"16. Braids
"
843,"17. Dent May
"
844,"18. Alexandra Savior
"
845,"19. Tim Heidecker
"
846,"20. Real Estate
"
847,"12/1/20 10:44 AM+9REPLY
"
848,"12/1/20 10:44 AM+4REPLY
"
849,"1.- Fleet Foxes - Shore
"
850,"2.- Fiona Apple - Fetch the Bolt Cutters
"
851,"3.- Phoebe Bridgers - Punisher
"
852,"4.- Porridge Radio - Every Bad
"
853,"5.- Protomartyr - Ultimate Success Today
"
854,"6.- Jessie Ware - What's Your Pleasure?
"
855,"7.- Dehd - Flower of Devotion
"
856,"8.- Young Jesus - Welcome to Conceptual Beach
"
857,"9.- Nation of Language - Introduction, Presence (easily the most addicting album I've heard this year)
"
858,"10.- Lido Pimienta - Miss Colombia (I'm from Latin America, and I barely listen to music in spanish, but this one is beautiful and special)
"
859,"11.- Kelly Lee Owens - Inner Song
"
860,"12.- Caribou - Suddenly
"
861,"13.- Run the Jewels - RTJ4
"
862,"14.- The Microphones - Microphones in 2020
"
863,"15.- U.S. Girls - Heavy Light
"
864,"16.- Adrianne Lenker - songs/instrumentals
"
865,"17.- Empty Country - Empty Country
"
866,"18.- Blake Mills - Mutable Set
"
867,"19.- Half Waif - The Caretaker (Very underrated artist IMO)
"
868,"20.- Trace Mountains - Lost in the Country
"
869,"12/1/20 10:46 AM+6REPLY
"
870,"12/1/20 11:03 AM+1REPLY
"
871,"12/1/20 11:06 AM+1REPLY
"
872,"12/1/20 2:22 PM0REPLY
"
873,"10. Porridge Radio - Every Bad
"
874,"09. Yves Tumor - Heaven to a Tortured Mind
"
875,"08. Run the Jewels - RTJ4
"
876,"07. Grimes - Miss Anthropocene
"
877,"06. The 1975 - Notes on a Conditional Form
"
878,"05. Phoebe Bridgers - Punisher
"
879,"04. Waxahatchee - Saint Cloud
"
880,"03. Fiona Apple - Fetch the Bolt Cutters
"
881,"02. Moses Sumney - Grae
"
882,"01. Perfume Genius - Set My Heart on Fire Immediately
"
883,"12/1/20 10:47 AM+11REPLY
"
884,"12/1/20 11:03 AM+13REPLY
"
885,"12/1/20 11:15 AM+3REPLY
"
886,"12/1/20 2:49 PM0REPLY
"
887,"12/1/20 11:37 AM+7REPLY
"
888,"12/1/20 11:54 AM+7REPLY
"
889,"12/1/20 1:43 PM+2REPLY
"
890,"1. Sarah Harmer - Are You Gone
"
891,"2. Mare Cognitum & Spectral Lore - Wanderers: Astrology of the Nine
"
892,"3. Svalbard - When I Die, Will I Get Better?
"
893,"4. The Beths - Jump Rope Gazers
"
894,"5. Hum - Inlet
"
895,"6. Phoebe Bridgers - Punisher
"
896,"7. Dark Forest - Oak, Ash & Thorn
"
897,"8. Testament - Titans of Creation
"
898,"9. Autonoesis - s/t
"
899,"10. Armani Caesar - The Liz
"
900,"12/1/20 10:47 AM+9REPLY
"
901,"12/1/20 11:47 AM0REPLY
"
902,"01. Fontaines D.C.: A Hero's Death
"
903,"02. Kate NV: Room for the Moon
"
904,"03. Fleet Foxes: Shore
"
905,"04. Ela Minus: Acts of Rebellion
"
906,"05. Rolling Blackouts C.F.: Sideways to New Italy
"
907,"06. beabadoobee: Fake It Flowers
"
908,"07. Porridge Radio: Every Bad
"
909,"08. Kelly Lee Owens: Inner Song
"
910,"09. Tame Impala: The Slow Rush
"
911,"10. Agnes Obel: Myopia
"
912,"12/1/20 10:48 AM+9REPLY
"
913,"12/1/20 11:14 AM+1REPLY
"
914,"1. Protomartyr -- Ultimate Success Today
"
915,"2. Fiona Apple -- Fetch the Bolt Cutters
"
916,"3. Emma Ruth Rundle / Thou -- May Our Chambers Be Full
"
917,"4. Nothing -- The Great Dismal
"
918,"5. Ulcerate -- Stare Into Death And Be Still
"
919,"6. Fontaines D.C. -- A Hero's Death
"
920,"7. Jeff Rosenstock -- No Dream
"
921,"8. Deeper -- Auto-Pain
"
922,"9. Pallbearer -- Forgotten Days
"
923,"10. Uniform -- Shame
"
924,"12/1/20 10:50 AM+4REPLY
"
925,"1. Fleet Foxes- Shore
"
926,"2. Dogleg- Melee
"
927,"3. And Shauf- The Neon Skyline
"
928,"4. Grimes- Miss Anthro
"
929,"5. Bully- Sugar Egg
"
930,"6 Rolling Coastal Blackout Fever- STNI
"
931,"7. Westerman- Your Hero is Not Dead
"
932,"8. Woods- Strange to Explain
"
933,"9. The Strokes- the New Abnormal
"
934,"10. MMJ- the Waterfall 2
"
935,"12/1/20 10:51 AM+9REPLY
"
936,"12/1/20 10:51 AM+1REPLY
"
937,"1. Phoebe Bridgers - Punisher
"
938,"2. Fiona Apple - Fetch the Bolt Cutters
"
939,"3. Jeff Rosenstock - No Dream
"
940,"4. Wares - Survival
"
941,"5. Soccer Mommy - Color Theory
"
942,"6. Moses Sumney - Grae
"
943,"7. Holy Fuck - Deleter
"
944,"8. Chubby and the Gang - Speed Kills
"
945,"9. Little Kid - Transfiguration Highway
"
946,"10. Bartees Strange - Live Forever
"
947,"11. Porridge Radio - Every Bad
"
948,"12. Waxahatchee - Saint Cloud
"
949,"13. Laura Marling - Song For Our Daughter
"
950,"14. Yves Tumor - Heaven to a Tortured Mind
"
951,"15. Sault - Untitled (Rise)
"
952,"16. Roisin Murphy- Roisin Machine
"
953,"17. Ela Minus - Acts of Rebellion
"
